data1,data2,data3,data4,data5,data6,data7,data8
5.525920987,-3.812797944,300.0000135,100.0000508,75.00000512,0.100025981,0.100014873,0.100008663
5.550925154,-3.815523726,300.0000135,100.0000508,75.00000512,0.100025972,0.100014868,0.10000866
5.575929322,-3.817325766,300.0000135,100.0000507,75.00000512,0.100025964,0.100014863,0.100008657
5.600933489,-3.81780338,300.0000135,100.0000507,75.00000511,0.100025964,0.100014863,0.100008657
5.625937656,-3.81662821,300.0000135,100.0000508,75.00000509,0.100025976,0.10001487,0.100008661
5.650941824,-3.81356237,300.0000135,100.0000508,75.00000506,0.100026005,0.100014887,0.100008671
5.675945991,-3.808470489,300.0000135,100.0000509,75.00000502,0.10002605,0.100014913,0.100008687
5.700950158,-3.801325181,300.0000136,100.000051,75.00000497,0.10002611,0.100014948,0.100008707
5.725954326,-3.792205953,300.0000136,100.0000511,75.00000491,0.100026177,0.100014987,0.10000873
5.750958493,-3.781291922,300.0000136,100.0000512,75.00000486,0.100026243,0.100015025,0.100008753
5.77596266,-3.768849072,300.0000137,100.0000513,75.00000482,0.100026297,0.100015057,0.100008772
5.800966828,-3.755213062,300.0000137,100.0000514,75.0000048,0.100026331,0.100015077,0.100008783
5.825970995,-3.740768805,300.0000137,100.0000514,75.00000479,0.100026338,0.100015081,0.100008786
5.850975163,-3.725928142,300.0000137,100.0000513,75.00000481,0.100026313,0.100015066,0.100008777
5.87597933,-3.711106969,300.0000136,100.0000512,75.00000484,0.100026259,0.100015035,0.100008759
5.900983497,-3.696703138,300.0000136,100.0000511,75.0000049,0.100026178,0.100014988,0.100008731
5.925987665,-3.683076317,300.0000135,100.0000509,75.00000496,0.100026079,0.10001493,0.100008697
5.950991832,-3.670530811,300.0000135,100.0000507,75.00000502,0.10002597,0.100014867,0.10000866
5.975995999,-3.659302146,300.0000134,100.0000505,75.00000508,0.100025861,0.100014804,0.100008623
6.001000167,-3.649547919,300.0000134,100.0000504,75.00000514,0.100025759,0.100014745,0.100008588
6.026004334,-3.641424295,300.0000133,100.0000502,75.00000517,0.100025675,0.100014697,0.100008559
6.051008501,-3.636860806,300.0000133,100.0000501,75.00000516,0.100025635,0.100014674,0.100008546
6.076012669,-3.636711478,300.0000133,100.0000501,75.00000512,0.100025645,0.10001468,0.10000855
6.101016836,-3.640746784,300.0000133,100.0000502,75.00000506,0.100025692,0.100014708,0.100008566
6.126021004,-3.648557031,300.0000134,100.0000503,75.00000499,0.10002576,0.100014747,0.10000859
6.151025171,-3.659579482,300.0000134,100.0000504,75.00000494,0.100025828,0.100014787,0.100008613
6.176029338,-3.673133135,300.0000134,100.0000505,75.0000049,0.100025877,0.100014815,0.10000863
6.201033506,-3.688457146,300.0000134,100.0000505,75.00000488,0.100025894,0.100014825,0.100008636
6.226037673,-3.704750864,300.0000134,100.0000505,75.0000049,0.100025874,0.100014813,0.100008629
6.25104184,-3.721213458,300.0000134,100.0000504,75.00000493,0.100025819,0.100014781,0.10000861
6.276046008,-3.737081283,300.0000134,100.0000503,75.00000499,0.100025735,0.100014733,0.100008582
6.301050175,-3.751661328,300.0000133,100.0000501,75.00000504,0.100025637,0.100014676,0.100008548
6.326054342,-3.764359405,300.0000133,100.0000499,75.0000051,0.100025537,0.100014618,0.100008514
6.35105851,-3.774702061,300.0000132,100.0000498,75.00000514,0.10002545,0.100014568,0.100008484
6.376062677,-3.782351535,300.0000132,100.0000496,75.00000516,0.100025385,0.10001453,0.100008462
6.401066844,-3.787113501,300.0000132,100.0000496,75.00000516,0.100025346,0.100014508,0.100008449
6.426071012,-3.788937656,300.0000131,100.0000495,75.00000515,0.100025336,0.100014502,0.100008446
